t`s,i(vs)`A
0,9.67E-19
1.56E-11,4.74E-09
6.56E-11,-4.87E-09
2.26E-10,4.84E-09
2.55E-10,4.77E-09
3.51E-10,-4.69E-09
3.70E-10,-4.80E-09
4.31E-10,-4.94E-09
6.27E-10,4.90E-09
6.66E-10,4.74E-09
6.97E-10,4.74E-09
7.98E-10,4.74E-09
8.78E-10,4.75E-09
1.13E-09,-4.86E-09
1.82E-09,4.84E-09
3.19E-09,-2.35E-09
3.46E-09,4.73E-09
4.34E-09,-4.88E-09
6.38E-09,4.84E-09
6.55E-09,4.75E-09
7.08E-09,4.74E-09
8.78E-09,-4.77E-09
8.95E-09,-4.86E-09
9.50E-09,-4.88E-09
1.12E-08,4.83E-09
1.14E-08,4.75E-09
1.20E-08,4.74E-09
1.37E-08,-4.76E-09
1.38E-08,-4.87E-09
1.41E-08,-4.88E-09
1.49E-08,4.79E-09
1.50E-08,4.71E-09
1.52E-08,1.87E-06
1.54E-08,1.90E-06
1.58E-08,1.95E-06
1.69E-08,2.02E-06
1.82E-08,2.08E-06
2.01E-08,2.98E-06
2.30E-08,1.32E-05
2.35E-08,1.91E-05
2.44E-08,2.78E-05
2.74E-08,3.24E-05
3.05E-08,4.52E-05
3.58E-08,7.24E-05
3.90E-08,0.000887273
4.30E-08,0.000999504
4.54E-08,0.00100077
4.70E-08,0.00100143
4.95E-08,0.00100154
5.47E-08,0.00100153
6.62E-08,0.00100153
7.00E-08,0.00100153
7.40E-08,0.000999272
7.80E-08,0.000997022
8.44E-08,0.000555167
8.63E-08,0.000424949
9.23E-08,3.63E-05
9.28E-08,1.36E-05
9.38E-08,-8.42E-07
9.40E-08,-5.00E-06
9.43E-08,-2.98E-06
9.48E-08,-2.36E-06
9.59E-08,-2.03E-06
9.80E-08,-1.82E-06
1.01E-07,-1.87E-06
1.02E-07,-1.72E-06
1.03E-07,-1.08E-08
1.03E-07,-6.20E-09
1.04E-07,-4.87E-09
1.04E-07,-4.13E-09
1.04E-07,-3.68E-09
1.04E-07,-3.38E-09
1.04E-07,-3.44E-09
1.04E-07,-3.23E-09
1.04E-07,-3.31E-09
1.04E-07,-3.40E-09
1.05E-07,3.07E-09
1.05E-07,3.11E-09
1.05E-07,3.21E-09
1.05E-07,-3.42E-09
1.05E-07,-3.45E-09
1.05E-07,-3.45E-09
1.05E-07,-3.42E-09
1.05E-07,3.12E-09
1.06E-07,3.16E-09
1.06E-07,3.21E-09
1.06E-07,-3.43E-09
1.06E-07,-3.47E-09
1.06E-07,-7.07E-10
1.06E-07,3.14E-09
1.06E-07,-3.51E-09
1.06E-07,3.26E-09
1.07E-07,-3.47E-09
1.07E-07,3.09E-09
1.07E-07,3.14E-09
1.07E-07,-3.45E-09
1.07E-07,3.24E-09
1.07E-07,-3.46E-09
1.07E-07,-3.18E-09
1.07E-07,-3.33E-09
1.08E-07,3.08E-09
1.08E-07,-3.17E-09
1.08E-07,3.17E-09
1.08E-07,2.92E-09
1.08E-07,-3.41E-09
1.09E-07,-2.54E-09
1.10E-07,1.86E-06
1.10E-07,1.92E-06
1.11E-07,1.91E-06
1.14E-07,2.03E-06
1.17E-07,4.12E-06
1.20E-07,8.78E-05
1.21E-07,0.000123752
1.25E-07,0.000207497
1.29E-07,0.000314398
1.32E-07,0.000372639
1.37E-07,0.000495284
1.38E-07,0.000546439
1.41E-07,0.000604346
1.45E-07,0.000604375
1.57E-07,0.00060432
1.64E-07,0.000604322
1.68E-07,0.000513437
1.72E-07,0.000384806
1.78E-07,0.000217392
1.80E-07,0.000156008
1.86E-07,-4.26E-07
1.88E-07,3.36E-06
1.90E-07,-2.00E-06
1.91E-07,-1.83E-06
1.94E-07,-1.91E-06
1.96E-07,-1.72E-06
1.97E-07,-1.35E-08
1.97E-07,-7.41E-09
1.99E-07,2.48E-09
2.03E-07,-1.86E-09
2.05E-07,1.81E-06
2.06E-07,1.90E-06
2.09E-07,1.89E-06
2.11E-07,3.26E-06
2.15E-07,-0.000209329
2.16E-07,-0.000336006
2.20E-07,-0.00060494
2.24E-07,-0.000955067
2.27E-07,-0.000600443
2.31E-07,-0.000131542
2.33E-07,-0.000156529
2.35E-07,-0.000200558
2.39E-07,-0.000200197
2.49E-07,-0.000200162
2.58E-07,-0.000200224
2.62E-07,-0.000131218
2.66E-07,-8.67E-05
2.72E-07,-6.62E-05
2.74E-07,-5.81E-05
2.80E-07,-2.38E-05
2.82E-07,3.00E-06
2.84E-07,-2.01E-06
2.85E-07,-1.81E-06
2.86E-07,-1.87E-06
2.88E-07,-1.83E-06
2.90E-07,-1.79E-06
2.91E-07,-5.94E-08
2.91E-07,-6.38E-09
2.91E-07,-6.07E-09
2.92E-07,-6.05E-09
2.93E-07,-6.05E-09
2.96E-07,5.77E-09
2.96E-07,5.72E-09
2.97E-07,-6.00E-09
2.97E-07,1.73E-06
2.98E-07,1.78E-06
2.99E-07,1.83E-06
3.00E-07,1.86E-06
3.02E-07,1.89E-06
3.05E-07,3.49E-06
3.08E-07,1.66E-05
3.09E-07,3.63E-05
3.14E-07,2.25E-05
3.17E-07,4.43E-05
3.21E-07,3.19E-05
3.25E-07,2.76E-05
3.27E-07,3.23E-05
3.29E-07,3.87E-05
3.33E-07,3.87E-05
3.44E-07,3.87E-05
3.52E-07,3.87E-05
3.56E-07,3.06E-05
3.60E-07,1.92E-05
3.66E-07,-1.08E-05
3.68E-07,-1.23E-05
3.74E-07,-1.69E-05
3.76E-07,3.37E-06
3.78E-07,-1.99E-06
3.79E-07,-1.81E-06
3.82E-07,-1.89E-06
3.84E-07,-1.71E-06
3.85E-07,-5.96E-08
3.85E-07,-6.38E-09
3.86E-07,6.07E-09
3.87E-07,5.73E-09
3.87E-07,5.71E-09
3.89E-07,-6.03E-09
3.89E-07,5.75E-09
3.89E-07,-6.06E-09
3.90E-07,-6.07E-09
3.91E-07,-6.10E-09
3.91E-07,-6.08E-09
3.92E-07,5.77E-09
3.92E-07,5.75E-09
3.93E-07,5.73E-09
3.93E-07,5.72E-09
3.94E-07,-6.04E-09
3.95E-07,2.18E-09
3.95E-07,-6.08E-09
3.96E-07,5.71E-09
3.97E-07,-6.03E-09
3.98E-07,-6.05E-09
3.98E-07,-6.05E-09
3.98E-07,5.73E-09
3.99E-07,5.75E-09
3.99E-07,-6.08E-09
