t`s,v(gate)`V
0,0
1.56E-11,0
6.56E-11,0
2.26E-10,0
2.55E-10,0
3.51E-10,0
3.70E-10,0
4.31E-10,0
6.27E-10,0
6.66E-10,0
6.97E-10,0
7.98E-10,0
8.78E-10,0
1.13E-09,0
1.82E-09,0
3.19E-09,0
3.46E-09,0
4.34E-09,0
6.38E-09,0
6.55E-09,0
7.08E-09,0
8.78E-09,0
8.95E-09,0
9.50E-09,0
1.12E-08,0
1.14E-08,0
1.20E-08,0
1.37E-08,0
1.38E-08,0
1.41E-08,0
1.49E-08,0
1.50E-08,0
1.52E-08,0.0123824
1.54E-08,0.0241134
1.58E-08,0.0518102
1.69E-08,0.119829
1.82E-08,0.203049
2.01E-08,0.32059
2.30E-08,0.5
2.35E-08,0.532111
2.44E-08,0.58946
2.74E-08,0.772977
3.05E-08,0.965857
3.58E-08,1.30024
3.90E-08,1.5
4.30E-08,1.5
4.54E-08,1.5
4.70E-08,1.5
4.95E-08,1.5
5.47E-08,1.5
6.62E-08,1.5
7.00E-08,1.5
7.40E-08,1.5
7.80E-08,1.5
8.44E-08,1.1
8.63E-08,0.981841
9.23E-08,0.603731
9.28E-08,0.577798
9.38E-08,0.51147
9.40E-08,0.5
9.43E-08,0.481649
9.48E-08,0.452289
9.59E-08,0.381439
9.80E-08,0.247872
1.01E-07,0.0370672
1.02E-07,0
1.03E-07,0
1.03E-07,0
1.04E-07,0
1.04E-07,0
1.04E-07,0
1.04E-07,0
1.04E-07,0
1.04E-07,0
1.04E-07,0
1.04E-07,0
1.05E-07,0
1.05E-07,0
1.05E-07,0
1.05E-07,0
1.05E-07,0
1.05E-07,0
1.05E-07,0
1.05E-07,0
1.06E-07,0
1.06E-07,0
1.06E-07,0
1.06E-07,0
1.06E-07,0
1.06E-07,0
1.06E-07,0
1.06E-07,0
1.07E-07,0
1.07E-07,0
1.07E-07,0
1.07E-07,0
1.07E-07,0
1.07E-07,0
1.07E-07,0
1.07E-07,0
1.08E-07,0
1.08E-07,0
1.08E-07,0
1.08E-07,0
1.08E-07,0
1.09E-07,0
1.10E-07,0.0535044
1.10E-07,0.0764836
1.11E-07,0.142306
1.14E-07,0.352937
1.17E-07,0.521739
1.20E-07,0.727437
1.21E-07,0.805085
1.25E-07,1.05356
1.29E-07,1.29946
1.32E-07,1.5
1.37E-07,1.5
1.38E-07,1.5
1.41E-07,1.5
1.45E-07,1.5
1.57E-07,1.5
1.64E-07,1.5
1.68E-07,1.5
1.72E-07,1.5
1.78E-07,1.1
1.80E-07,0.981632
1.86E-07,0.602855
1.88E-07,0.5
1.90E-07,0.367704
1.91E-07,0.293955
1.94E-07,0.126655
1.96E-07,0
1.97E-07,0
1.97E-07,0
1.99E-07,0
2.03E-07,0
2.05E-07,0.154764
2.06E-07,0.204148
2.09E-07,0.362179
2.11E-07,0.5
2.15E-07,0.720514
2.16E-07,0.801222
2.20E-07,1.03845
2.24E-07,1.29166
2.27E-07,1.5
2.31E-07,1.5
2.33E-07,1.5
2.35E-07,1.5
2.39E-07,1.5
2.49E-07,1.5
2.58E-07,1.5
2.62E-07,1.5
2.66E-07,1.5
2.72E-07,1.1
2.74E-07,0.983918
2.80E-07,0.612455
2.82E-07,0.5
2.84E-07,0.36744
2.85E-07,0.291104
2.86E-07,0.239748
2.88E-07,0.121843
2.90E-07,0
2.91E-07,0
2.91E-07,0
2.91E-07,0
2.92E-07,0
2.93E-07,0
2.96E-07,0
2.96E-07,0
2.97E-07,0
2.97E-07,0.0203109
2.98E-07,0.0418549
2.99E-07,0.101662
3.00E-07,0.20066
3.02E-07,0.300025
3.05E-07,0.5
3.08E-07,0.685325
3.09E-07,0.776313
3.14E-07,1.04812
3.17E-07,1.27821
3.21E-07,1.5
3.25E-07,1.5
3.27E-07,1.5
3.29E-07,1.5
3.33E-07,1.5
3.44E-07,1.5
3.52E-07,1.5
3.56E-07,1.5
3.60E-07,1.5
3.66E-07,1.1
3.68E-07,0.984761
3.74E-07,0.615995
3.76E-07,0.5
3.78E-07,0.368311
3.79E-07,0.296076
3.82E-07,0.0961599
3.84E-07,0
3.85E-07,0
3.85E-07,0
3.86E-07,0
3.87E-07,0
3.87E-07,0
3.89E-07,0
3.89E-07,0
3.89E-07,0
3.90E-07,0
3.91E-07,0
3.91E-07,0
3.92E-07,0
3.92E-07,0
3.93E-07,0
3.93E-07,0
3.94E-07,0
3.95E-07,0
3.95E-07,0
3.96E-07,0
3.97E-07,0
3.98E-07,0
3.98E-07,0
3.98E-07,0
3.99E-07,0
3.99E-07,0
