HRS,LRS
17497.20045,4273.504274
14353.99831,4633.920297
17860.6512,4277.159966
16328.66334,4187.020237
17561.72948,4426.737494
17164.43529,4401.408451
13765.19333,4700.720777
14252.7294,4620.360388
15449.98069,4342.162397
14371.94596,4660.918201
14499.8985,4359.197908
14839.87772,4357.931435
13580.4984,4480.621313
12172.55818,4713.646005
17141.192,4266.514968
16696.44199,4438.526409
17351.4714,4334.946897
15078.63508,4595.236272
20076.2899,4398.182085
18954.83064,4440.825994
15795.5425,4309.725614
15802.53157,4149.090658
15114.41613,4355.084561
15680.86307,4427.064119
19228.9203,4315.925766
14863.47895,4654.77114
18995.51706,4505.519261
15121.04396,4598.758335
16758.27859,4523.181304
14052.04879,4865.390853
15365.46765,4903.563256
16278.4262,4949.269983
14207.97636,4540.295119
14877.63148,4501.462975
16506.5531,4930.966469
13645.72957,4978.013773
16014.34886,4925.703965
18288.55685,4613.61015
14947.90655,4986.702128
12871.3381,4615.029613
11435.3673,4963.600265
16474.46458,4993.34221
14928.26966,5010.856857
16886.7574,4975.536943
16662.22341,4607.58716
17436.48759,4595.588235
17120.063,4938.678081
18680.0665,4962.779156
17593.55372,5690.979797
18009.25676,4891.570194
16068.64525,4940.304652
21743.38458,5027.230834
13948.75228,5001.250313
15831.30165,4976.362279
17834.53122,4939.897909
16312.94759,4395.282397
16318.80416,5017.141901
14088.87261,4985.873359
16365.54072,4956.220056
14451.70241,4965.243297
13205.85283,4974.299453
12849.34147,4899.959167
14977.01029,4528.301887
13633.45104,4632.131553
14074.39726,4562.043796
16536.30546,4632.489191
13963.94509,4663.454065
12604.77721,4944.375773
13409.67911,4393.673111
12848.84617,4676.174889
13119.57178,4908.778532
14284.28586,4972.238336
14654.80604,4364.588638
16291.42094,4652.966266
14042.97149,4620.716211
15044.15459,4619.293248
15534.94586,4656.216048
17115.96063,4428.04428
15950.23527,4564.12597
16279.75125,4559.96352
14475.76034,4974.299453
16240.8848,4630.344189
15680.86307,4339.022274
16399.89504,5014.20692
15524.5754,4974.711881
13760.6473,5105.94843
15006.0024,4633.920297
17257.74441,4554.771123
16304.17061,4678.362573
16931.0736,4587.857471
15191.10409,4922.067268
15107.10941,4385.003289
13746.46029,4654.410054
20731.83373,4953.355899
14861.4909,4648.280136
14705.66609,5096.407033
21208.45793,4583.301505
17298.64379,4344.048653
17742.1358,4442.141112
15425.19551,4684.572142
21256.24402,4643.962848
